title,authors,year,population_age,language_level,setting,target,outcome_family,study_design,comparator,followup_length,sample_size,sessions_info
Preschool-Based Social Communication Treatment for Children With Autism: 12-Month Follow-Up of a Randomized Trial,"Anett Kaale, MSEd, Morten W. Fagerland, PhD, Egil W. Martinsen, MD, PhD, Lars Smith, PhD",2014,29 to 60 months,[],['preschool'],['social communication'],"['Early Social Communication Scales', 'Reynell Developmental Language Scale', 'Social Communication Questionnaire']",randomized controlled trial,standard preschool program only,12 months,61,8 weeks of preschool-based social communication treatment
Practice Parameter for the Assessment and Treatment of Children and Adolescents With Autism Spectrum Disorder,"Fred Volkmar, MD, Matthew Siegel, MD, Marc Woodbury-Smith, MD, Bryan King, MD, James McCracken, MD, Matthew State, MD, PhD, and the American Academy of Child and Adolescent Psychiatry (AACAP) Committee on Quality Issues (CQI)",2014,0 to 17 years,"['verbal', 'nonverbal']","['clinic', 'home']","['social communication', 'language']","['diagnostic criteria', 'clinical trial outcomes']",Practice guideline,standard care,,0,
Alternative treatments for autism: Prevalence and predictors,"Kim M. Jonkman, Elisa Back, Wouter G. Staal, Lotte Benard, Daniël M. van der Doelen, Sander Begeer",2022,,[],"['home', 'special education']","['social communication', 'irritability']",[],survey study and clinical care study,,,1989,
An Update on Psychopharmacological Treatment of Autism Spectrum Disorder,"Ramkumar Aishworiya, Tatiana Valica, Randi Hagerman, Bibiana Restrepo",2022,,[],"['clinic', 'home', 'school']","['social communication', 'language', 'irritability']",[],,,,0,
The treatment of autism with low-dose phenytoin: a case report,Philip D Bird,2015,19 years,"['verbal', 'nonverbal']","['clinic', 'home']",['social communication'],"['Autism-Spectrum Quotient', 'Depression, Anxiety and Stress Scales']",case study,none,18 months,1,single sublingual low dose
Social wanting dysfunction in autism: neurobiological underpinnings and treatment implications,"Gregor Kohls, Coralie Chevallier, Vanessa Troiani, Robert T Schultz",2012,,[],[],['social motivation'],[],review,,,0,
Aggression in autism spectrum disorder: presentation and treatment options,"Sarah E Fitzpatrick, Laura Srivorakiat, Logan K Wink, Ernest V Pedapati, Craig A Erickson",2016,,[],[],"['aggression', 'irritability']","['Aberrant Behavior Checklist Irritability subscale', 'Child Behavior Checklist']",Review,,,0,
Treatment Patterns in Children with Autism in the United States,"Brigitta U. Monz, Richard Houghton, Kiely Law, Georg Loss",2019,3–17 years,[],"['home', 'school', 'specialty clinics']","['behavioral interventions', 'speech and language therapy', 'occupational therapy', 'psychological therapy', 'parent/caregiver training']",['caregiver-reported types and intensities of treatments'],cross-sectional study,none,12 months,5122,Two online questionnaires completed in September/October 2017
Autism Treatment Evaluation Checklist (ATEC) Norms: A “Growth Chart” for ATEC Score Changes as a Function of Age,"Shreyas Mahapatra, David Vyshedskiy, Samantha Martinez, Benjamin Kannel, Julia Braverman, Stephen M. Edelson, Andrey Vyshedskiy",2018,,[],[],['ASD severity'],['ATEC scores'],observational cohort,treatment as usual,four years,0,
"Clinical Assessment, Genetics, and Treatment Approaches in Autism Spectrum Disorder (ASD)",Ann Genovese and Merlin G. Butler,2020,children,[],[],"['social communication', 'irritability', 'language']",[],review,,,0,
